Name,U,V,W,A,B,C,UV,UW,VW,X,Y,Z,D,E,F,XY,XZ,YZ,Age,Number,Ref,Weightednumber,Red,Green,Blue,uniform,A2,B2,C2,UV2,UW2,VW2,D2,E2,F2,XY2,XZ2,YZ2,field_pm_M,field_pm_S,field_dist_M,field_dist_S,field_rv_M,field_rv_S,field_pmdist_M,field_pmdist_S,field_pmrv_M,field_pmrv_S,field_distrv_M,field_distrv_S,field_all_M,field_all_S,young_pm_M,young_pm_S,young_dist_M,young_dist_S,young_rv_M,young_rv_S,young_pmdist_M,young_pmdist_S,young_pmrv_M,young_pmrv_S,young_distrv_M,young_distrv_S,young_all_M,young_all_S
eps Cha,-10.900,-20.400,-9.900,0.800,1.300,1.400,0.000,0.000,0.000,54.000,-92.000,-26.000,3.000,6.000,7.000,0.000,0.000,0.000,5,40,Murphy et al. (2013),0.0001972396,1,0,1,0,0.8,1.3,1.4,0,0,0,3,6,7,0,0,0,1.0527491401,0.4920296749,2.4361607125,0.6940150039,-7.688843632,2.8026476461,1.0221026599,0.1349170503,1.0735128671,0.1974001977,1.2093378185,0.1284599381,0.9087279595,0.0867234237,2.3114027934,0.2418324273,3.767397753,0.3700364622,-0.9463740701,1.2565362662,1.3760117934,0.1447193588,1.8303712851,0.2065515198,2.1467245566,0.0056455973,1.6460439827,0.0057441186
eta Cha,-10.200,-20.700,-11.200,0.200,0.100,0.100,0.000,0.000,0.000,33.400,-81.000,-34.900,0.400,1.000,0.400,0.000,0.000,0.000,8,20,Murphy et al. (2013),0.0002958594,0.6,0,1,1,0.2,0.1,0.1,0,0,0,0.4,1,0.4,0,0,0,2.5130477221,0.4406795521,11.9253180737,3.1260746536,-0.9674803358,0.4219548892,4.7658289269,0.8520432301,1.9526008637,0.2361707827,5.2490626884,1.0058785931,3.9685671578,0.7024042508,11.0813536283,3.0434588939,26.8954678183,4.816970509,-0.0381310132,0.2788154627,8.2167815115,1.4927468046,7.5702769119,1.7420348285,10.1661515924,2.4816007874,7.3167206806,1.904465431
TW Hya,-11.235,-18.442,-4.851,2.656,1.908,1.467,-0.022,-0.062,0.163,16.933,-51.997,21.327,17.976,7.974,5.252,-0.831,0.023,0.187,12,50,Me,0.000542409,1,0.8,0,0,2.482,2.1899,1.6859,-0.0216,0.1705,-0.0664,17.9404,5.4359,16.4545,-0.831,0.1084,0.007,0.5147948331,0.251670373,0.8454137084,1.6033782804,-9.2307685981,3.2541835732,0.8807916775,0.359916527,0.6578392421,0.3174755967,1.0827603289,0.3010193401,0.8772097432,0.1917599588,1.8761202017,0.2493383203,3.5131297898,0.7017623617,-3.2217187314,2.1726178355,1.2696921341,0.1369388675,1.4301341372,0.158055728,1.3472539348,0.1296765003,1.0335390995,0.0794464937
beta Pic,-10.601,-15.824,-9.467,2.283,1.481,1.650,0.267,0.054,-0.211,10.361,-2.867,-16.533,28.363,15.595,7.529,0.049,-0.013,-0.309,25,130,Me,0.0011834378,0,0,1,0,2.275,1.6187,1.745,0.2679,-0.1273,0.0734,28.3728,9.2045,15.6813,0.049,-0.0089,-0.3086,-0.5278177244,0.8205501826,-1.1758302387,2.3543109278,-7.4295472383,2.9862372298,0.4189647077,0.4382576478,0.31092769,0.4011704636,0.8939585221,0.3135710024,0.6936149172,0.2193244047,-0.1631357852,0.8790824466,0.1392228201,1.6748387529,0.087108499,0.8385977221,0.4805421219,0.436400372,0.5226915432,0.457021437,0.991750255,0.3305543022,0.7688505931,0.2257623395
Octans,-13.673,-4.800,-10.927,1.749,1.678,1.029,0.320,-0.520,0.241,15.913,-95.179,-63.138,64.920,20.831,13.888,0.059,-0.107,0.080,40,50,Murphy et al. (2015),0.0014299873,0,0.75,0.6,0,1.4108,1.6114,0.9711,0.3195,-0.6451,-0.0417,64.5276,20.734,14.0166,0.0595,-0.1082,0.0119,0.0746565304,0.0160845169,-6.8691952551,4.190302324,-8.2967724547,3.0390198323,0.3141840715,0.3456263568,0.0818310893,0.0220646114,0.65359386,0.3190648358,0.5309266414,0.2159687232,1.0630531678,0.5440480216,2.0344819773,0.7225133786,-0.5414367487,1.498948499,0.812863769,0.3721772859,1.123215538,0.1659845547,1.2188584095,0.1493553833,0.997069377,0.1007164854
Tuc-Hor,-9.975,-20.904,-0.599,3.735,2.602,1.496,0.184,-0.345,0.395,5.525,-21.840,-33.600,19.630,13.126,10.802,0.021,0.037,0.272,45,250,Me,0.002662735,1,0,0,0,2.3698,3.9809,2.292,0.1893,0.5683,-0.4381,19.6052,11.7335,13.1476,0.021,0.0346,0.2737,0.3159648531,0.3581089345,-0.1205196019,1.7564245299,-9.214303578,3.3790613202,0.285236904,0.6780350747,0.5298399688,0.3593417996,0.7917840342,0.2246118488,0.6287005147,0.1476134459,0.6500979537,0.5866632913,1.0497668753,1.3795373275,-6.1669602277,4.2774867214,0.4141360138,0.6510103103,0.8428239414,0.1846521512,0.8734671724,0.1863718817,0.6898418146,0.1235484187
Columba,-12.433,-21.479,-5.327,1.835,1.051,0.996,0.599,0.042,0.183,-31.492,-31.677,-29.588,17.942,32.364,17.336,0.197,-0.002,0.400,45,24,Me,0.0027810788,0.5,0,0,0,1.9368,1.6302,1.1972,0.6364,0.2366,0.1184,27.33348,22.45428,36.02268,0.5415,-0.0219,0.3658,0.0781790361,0.0165014633,-2.785778254,2.0291116612,-9.3948912499,3.1945953427,0.1235905668,0.1509029155,0.0815926835,0.0329542916,0.4720461406,0.5577896346,0.4634459714,0.2427459296,0.1535036864,0.123071485,-0.5818780041,0.9473673731,-1.9761826673,1.4718903802,0.1554683251,0.1858829801,0.3113058089,0.3864109923,0.6867055072,0.3114294492,0.526648194,0.2223541824
Argus,-22.093,-12.225,-4.335,1.767,1.426,0.821,-0.178,-0.125,0.019,18.862,-19.128,-6.668,28.549,24.116,6.315,-0.498,-0.088,0.015,50,130,Me,0.0034221076,0,0.75,0,0,1.6915,1.7551,0.8783,-0.1788,0.0866,-0.1136,28.437,6.4877,30.0851,-0.4984,-0.0911,0.0731,0.0207366117,0.423946622,-2.3259406976,3.268618717,-6.4853497407,2.7370352058,0.6167588872,0.4005781873,0.5106653742,0.3145886055,0.9695148272,0.223013604,0.7508909264,0.1624472133,0.2739379375,0.6636590252,-0.5552510555,2.7175049339,0.4038415396,1.2841172575,0.7511843104,0.3970758014,0.9989688246,0.2361834408,1.1119760987,0.2130639138,0.8562284852,0.1592542474
AB Dor,-7.187,-27.119,-13.547,2.084,1.744,2.117,-0.219,0.050,-0.117,-0.011,-3.466,-16.461,23.647,20.253,17.195,-0.044,0.148,0.221,125,200,Me,0.0044083058,1,0.5,0,0,1.897,1.9828,2.2625,-0.2193,-0.1269,0.044,23.2194,18.1136,20.2165,-0.0441,0.1552,0.2074,-0.8206715315,1.2777481161,-2.6530006103,3.0620052488,-7.0767425662,3.0440451601,0.4842584099,0.5844902251,0.4893968546,0.4895362393,0.950494306,0.1856439674,0.7339765152,0.141588805,0.1622961184,1.152649194,-1.6052565519,2.9145947061,-0.2854200238,2.4857118761,0.7070737363,0.5426906398,0.8331525161,0.2993636598,1.1775994772,0.1816678313,0.9027335096,0.1443099297
Pleiades,-6.791,-28.644,-14.133,0.230,0.230,0.230,0.000,0.000,0.000,-121.656,29.190,-54.277,13.500,13.500,13.500,0.000,0.000,0.000,125,1000,Me van Leeuwen (2009)  Melis (2014)  Makarov (2001),0.0093392965,0.5,0.25,0,1,0.23,0.23,0.23,0,0,0,13.5,13.5,13.5,0,0,0,1.2583663526,0.2988101379,2.3500763056,0.7403272052,-0.3245669789,0.5486898686,1.0699321537,0.167032456,1.1562397905,0.1512433127,1.3068994101,0.1487825395,0.9801025238,0.1098751252,1.4212965549,0.2573912936,4.3157612372,0.2095193144,1.2897527441,0.7593982746,1.7867085558,0.0701360556,1.4206664478,0.1099842005,2.0848171058,0.0180400558,1.5706542313,0.0136644863
